connectToSupplicantNative,android_net_wifi_connectToSupplicant
closeSupplicantConnectionNative,android_net_wifi_closeSupplicantConnection
waitForEventNative,android_net_wifi_waitForEvent
doBooleanCommandNative,android_net_wifi_doBooleanCommand
doIntCommandNative,android_net_wifi_doIntCommand
doStringCommandNative,android_net_wifi_doStringCommand
startHalNative,android_net_wifi_startHal
stopHalNative,android_net_wifi_stopHal
waitForHalEventNative,android_net_wifi_waitForHalEvents
getInterfacesNative,android_net_wifi_getInterfaces
getInterfaceNameNative,android_net_wifi_getInterfaceName
getScanCapabilitiesNative,android_net_wifi_getScanCapabilities
startScanNative,android_net_wifi_startScan
stopScanNative,android_net_wifi_stopScan
getScanResultsNative,android_net_wifi_getScanResults
setHotlistNative,android_net_wifi_setHotlist
resetHotlistNative,android_net_wifi_resetHotlist
trackSignificantWifiChangeNative,android_net_wifi_trackSignificantWifiChange
untrackSignificantWifiChangeNative,android_net_wifi_untrackSignificantWifiChange
getWifiLinkLayerStatsNative,android_net_wifi_getLinkLayerStats
setWifiLinkLayerStatsNative,android_net_wifi_setLinkLayerStats
getSupportedFeatureSetNative,android_net_wifi_getSupportedFeatures
requestRangeNative,android_net_wifi_requestRange
cancelRangeRequestNative,android_net_wifi_cancelRange
enableRttResponderNative,android_net_wifi_enableResponder
disableRttResponderNative,android_net_wifi_disableResponder
setScanningMacOuiNative,android_net_wifi_setScanningMacOui
getChannelsForBandNative,android_net_wifi_getValidChannels
setDfsFlagNative,android_net_wifi_setDfsFlag
getRttCapabilitiesNative,android_net_wifi_get_rtt_capabilities
getApfCapabilitiesNative,android_net_wifi_get_apf_capabilities
installPacketFilterNative,android_net_wifi_install_packet_filter
setCountryCodeHalNative,android_net_wifi_set_Country_Code_Hal
setPnoListNative,android_net_wifi_setPnoListNative
resetPnoListNative,android_net_wifi_resetPnoListNative
enableDisableTdlsNative,android_net_wifi_enable_disable_tdls
getTdlsStatusNative,android_net_wifi_get_tdls_status
getTdlsCapabilitiesNative,android_net_wifi_get_tdls_capabilities
getSupportedLoggerFeatureSetNative,android_net_wifi_get_supported_logger_feature
getDriverVersionNative,android_net_wifi_get_driver_version
getFirmwareVersionNative,android_net_wifi_get_firmware_version
getRingBufferStatusNative,android_net_wifi_get_ring_buffer_status
startLoggingRingBufferNative,android_net_wifi_start_logging_ring_buffer
getRingBufferDataNative,android_net_wifi_get_ring_buffer_data
getFwMemoryDumpNative,android_net_wifi_get_fw_memory_dump
getDriverStateDumpNative,android_net_wifi_get_driver_state_dump
setBssidBlacklistNative,android_net_wifi_setBssidBlacklist
setLoggingEventHandlerNative,android_net_wifi_set_log_handler
resetLogHandlerNative,android_net_wifi_reset_log_handler
startPktFateMonitoringNative,android_net_wifi_start_pkt_fate_monitoring
getTxPktFatesNative,android_net_wifi_get_tx_pkt_fates
getRxPktFatesNative,android_net_wifi_get_rx_pkt_fates
startSendingOffloadedPacketNative,android_net_wifi_start_sending_offloaded_packet
stopSendingOffloadedPacketNative,android_net_wifi_stop_sending_offloaded_packet
startRssiMonitoringNative,android_net_wifi_start_rssi_monitoring_native
stopRssiMonitoringNative,android_net_wifi_stop_rssi_monitoring_native
getWlanWakeReasonCountNative,android_net_wifi_get_wlan_wake_reason_count
isGetChannelsForBandSupportedNative,android_net_wifi_is_get_channels_for_band_supported
readKernelLogNative,android_net_wifi_readKernelLog
configureNeighborDiscoveryOffload,android_net_wifi_configure_nd_offload
